Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2023-01-03,123.63252258300781,88.6959457397461,235.24000549316406,129.39551044224086,90.61676258298985,241.29823402669174,122.74286511723291,88.09879462707987,233.09948844422817,128.7826411649236,89.16370297479997,238.67660292589414,112117500,28131200,25740000
2023-01-04,124.90769958496094,87.66090393066406,224.9498748779297,127.18126787275598,90.21867518028262,228.6515707937887,123.64241229292817,86.8547528692259,221.86675636636124,125.4316068972832,89.92009958818068,228.07226219993836,89113600,34854800,50623400
2023-01-05,123.58309936523438,85.78984069824219,218.2828826904297,126.30149268134268,87.1533247069017,223.42796620859252,123.32609306355886,85.4912727120948,217.7428428679085,125.66884902202133,87.05380204485257,223.0843004172486,80962700,27194400,39585600
2023-01-06,128.13021850585938,86.92440795898438,220.85537719726562,128.79251610668766,87.2727486345716,221.67034351319057,123.45458659001618,84.45621275179472,215.37647229662053,124.56171667837158,86.37702957023193,218.9603464131228,87754700,41381500,43613600
2023-01-09,128.6541290283203,87.60118103027344,223.0057373046875,131.87667022454877,89.62152828865293,227.05111407181693,128.39712274020837,87.44194628861791,222.30860727948638,128.9704583829939,87.93956719506664,222.34787609092098,70790800,29003900,27369800
2023-01-10,129.22747802734375,87.99928283691406,224.7044219970703,129.75138537718297,88.24809330021212,227.11985106977494,126.64747490986099,85.42161008183072,223.21195237781274,128.76287866678214,85.57089787842811,223.63415579969376,63896200,30467800,27033900
2023-01-11,131.95574951171875,91.08451843261719,231.49905395507812,131.97550878336855,91.16413959217385,231.67578608133306,128.96057576470602,88.58646719453307,226.92346579858452,129.7414893304502,88.75565646377223,227.10019792483945,69458900,26862000,28669300
2023-01-12,131.8766632080078,90.6963882446289,234.1894073486328,132.71688473025435,91.43287269029972,235.55422702400872,129.92930408672314,89.32295720715761,229.32907915113603,132.34126249583184,91.0447289711645,230.99828080713587,71379600,30258100,27269500
2023-01-13,133.21115112304688,91.68167114257812,234.89634704589844,133.36931580754018,91.75133776013793,235.03381034817815,130.14678954891528,89.70113462763581,230.66442504459786,130.51253218381837,90.41770989001778,232.70674766587976,57809700,26329200,21333300
2023-01-17,134.37759399414062,90.85562133789062,235.99607849121094,135.7120688975574,91.81105251796343,236.54593172373328,132.5883994032112,89.6215236794331,232.79512362957803,133.28035102906594,91.62195415344863,233.65918727061418,63646600,32602400,29831300
2023-01-18,133.65599060058594,90.68643188476562,231.538330078125,137.01690717262807,92.35843834492154,237.98932257293077,133.47805156045354,90.2087124991102,231.25358998270823,135.24748690824802,91.70157513878183,237.1939980149143,69672800,29116700,30028700
2023-01-19,133.71530151367188,92.60725402832031,227.72862243652344,134.68403382720132,93.16458701556465,231.25360161671026,132.23254150823482,90.19876306253057,226.5012659624361,132.53897616267878,90.28833877439054,229.54511601112426,58280400,37000400,28623000
2023-01-20,136.28541564941406,97.55359649658203,235.8684539794922,136.43370070636414,97.83227057478473,236.37903845699122,132.67737218152695,94.56787113938321,230.26188313206725,133.72518688361293,94.64749230458399,230.60554893050247,80223600,63191100,35389800
2023-01-23,139.48817443847656,99.31517791748047,238.18568420410156,141.67278077878365,99.56398836192957,240.728762962326,136.31506144495467,97.03607333515549,235.30875313249115,136.5325341153351,97.48392909792703,236.73249848259866,81760300,40005100,31934000
2023-01-24,140.89183044433594,97.23511505126953,237.65545654296875,141.51459436693844,99.13603042112301,239.53086062869244,138.68746516946817,96.73749418080635,236.08444941515683,138.69734480445425,97.63321326625847,238.1071302689207,66435100,33078500,40234400
2023-01-25,140.22955322265625,94.76692962646484,236.25137329101562,140.79299416676852,95.70245938987009,238.8926465935646,137.21460493959157,93.313877444999,226.71726242697446,139.27070057060922,95.11526275334147,230.23241286471827,65799300,42330000,66526600
2023-01-26,142.30545043945312,97.05596923828125,243.50750732421875,142.59211078456946,97.10573436154094,243.81188931119357,140.26911369162724,94.92615256394458,237.61619666314894,141.52452159398862,96.0408260243726,239.236301101992,54105100,30114000,33454500
2023-01-27,144.2527618408203,98.89718627929688,243.6645965576172,145.5378234459024,99.84266300827183,245.30434278619185,141.43552706245464,96.84698288610231,242.35868764883875,141.51460940098116,96.84698288610231,244.47956294350342,70555800,33879800,26498900
2023-01-30,141.35646057128906,96.47874450683594,238.31333923339844,143.8771557170406,97.82231944586147,241.1509865733433,141.20819059706298,95.94131301260722,237.81256824363442,143.29394037386407,97.01617600106465,240.0807204276458,64015300,27226200,25867400
2023-01-31,142.63162231445312,98.36969757080078,243.32093811035156,142.68105066516867,98.40950815466127,243.45840142159702,140.64472931637368,96.35931244094722,238.5489760451487,141.05990031223737,96.40907756904596,239.03991858279355,65874500,29870700,26541100
